Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,54.66,55.040001000000004,54.169998,54.52,961000,47.533153000000006
2010-01-05,54.349998,54.82,53.939999,54.259997999999996,1136400,47.306470000000004
2010-01-06,54.139998999999996,54.470001,53.799999,54.029999,1670700,47.105946
2010-01-07,53.75,54.900002,53.75,54.669998,973600,47.663928000000006
2010-01-08,54.470001,56.23,54.119999,56.220001,1075200,49.015295
2010-01-11,57.099998,58.029999,56.57,57.82,1682100,50.41025
2010-01-12,57.450001,58.09,57.380001,57.939999,1750700,50.514871
2010-01-13,58.09,58.59,57.09,58.25,1371800,50.785145
2010-01-14,58.029999,58.939999,57.560001,58.790001000000004,1003100,51.255944
2010-01-15,58.66,59.150002,57.939999,58.560001,1712000,51.055419
2010-01-19,61.740002000000004,62.849998,60.580002,61.419998,3741400,53.548902000000005
2010-01-20,61.130001,61.18,59.400002,60.610001000000004,2339800,52.842707
2010-01-21,60.400002,61.43,58.759997999999996,59.52,2014800,51.892393
2010-01-22,59.439999,59.439999,57.59,57.619999,1462900,50.23588
2010-01-25,58.52,59.040001000000004,56.369999,57.369999,2042900,50.017918
2010-01-26,56.900002,57.299999,56.07,56.599998,2343600,49.346595
2010-01-27,56.490002000000004,57.740002000000004,56.150002,57.400002,3339500,50.044076000000004
2010-01-28,57.709998999999996,57.799999,55.68,56.32,1439000,49.102478000000005
2010-01-29,56.830002,57.860001000000004,55.669998,55.91,2134700,48.745021
2010-02-01,56.200001,57.400002,56.060001,57.139998999999996,1622400,49.817393
2010-02-02,57.549999,58.209998999999996,57.200001,58.139998999999996,1919400,50.689240999999996
2010-02-03,57.799999,58.619999,57.130001,57.299999,1800100,49.956889000000004
2010-02-04,56.52,56.740002000000004,54.93,54.93,1969200,47.890609999999995
2010-02-05,54.959998999999996,55.32,53.5,54.970001,2101500,47.925484999999995
2010-02-08,54.950001,55.169998,53.950001,54.540001000000004,1728200,47.55059
2010-02-09,55.330002,56.400002,54.880001,55.75,1651000,48.605525
2010-02-10,55.700001,55.98,54.860001000000004,55.549999,1032700,48.431155
2010-02-11,55.59,56.790001000000004,55.150002,56.759997999999996,1370600,49.486090000000004
2010-02-12,55.91,57.650002,55.209998999999996,56.080002,2551600,48.893237
2010-02-16,57.240002000000004,57.299999,56.41,57.25,1561300,50.136804
2010-02-17,57.75,58.330002,57.259997999999996,58.189999,1501600,50.96001
2010-02-18,58.040001000000004,58.869999,57.970001,58.759997999999996,1522700,51.459188
2010-02-19,58.59,59.290001000000004,58.200001,59.0,1109200,51.66937
2010-02-22,59.18,59.240002000000004,58.630001,58.919998,1249000,51.599308
2010-02-23,58.720001,59.060001,57.759997999999996,58.310001,1451100,51.065102
2010-02-24,58.580002,58.91,58.130001,58.869999,2075300,51.555521
2010-02-25,57.549999,59.060001,57.459998999999996,58.900002,1553900,51.581796000000004
2010-02-26,59.310001,60.450001,59.169998,60.310001,2204800,52.81660600000001
2010-03-01,60.169998,62.580002,60.150002,61.709998999999996,3111800,54.042657
2010-03-02,62.02,62.41,61.869999,62.07,2012700,54.357928
2010-03-03,63.200001,63.66,62.299999,62.41,2750600,54.655683999999994
